2019 Constructor Standings,4,McLaren Renault,145
2019 Constructor Standings,5,Renault,91
2019 Constructor Standings,6,Scuderia Toro Rosso Honda,85
2019 Constructor Standings,7,Racing Point BWT Mercedes,73
2019 Constructor Standings,8,Alfa Romeo Racing Ferrari,57
2019 Constructor Standings,9,Haas Ferrari,28
2019 Constructor Standings,10,Williams Mercedes,1
2016 Constructor Standings,1,Mercedes,765
2022 Constructor Standings,1,Red Bull Racing RBPT,759
2016 Constructor Standings,2,Red Bull Racing TAG Heuer,468
2016 Constructor Standings,3,Ferrari,398
2016 Constructor Standings,4,Force India Mercedes,173
2022 Constructor Standings,2,Ferrari,554
2022 Constructor Standings,3,Mercedes,515
2022 Constructor Standings,4,Alpine Renault,173
2021 Constructor Standings,1,Mercedes,613.5
2016 Constructor Standings,5,Williams Mercedes,138
2016 Constructor Standings,6,McLaren Honda,76
2016 Constructor Standings,7,Toro Rosso Ferrari,63
2022 Constructor Standings,5,McLaren Mercedes,159
2022 Constructor Standings,6,Alfa Romeo Ferrari,55
